"","pool","code","country","marst","relinc","sex","age","parent","employ","homemaker","degree","hswrk","respmom","famlife","index"
"3428","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",46,"Parent","Fulltime","Other","Upper level tertiary",7,"Yes, she worked for pay",6,0.121
"3429","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",31,"Parent","Unemployed","Other","Upper secondary",1,"Yes, she worked for pay",6,0.121
"3430","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",27,"Parent","Parttime","Homemaker","Lower level tertiary",3,"Yes, she worked for pay",5,0.121
"3431","Keep All $ Separate","IE","Ireland","Married","Woman primary-earner","Female",39,"Nonparent","Fulltime","Other","Upper level tertiary",3,"Yes, she worked for pay",5,0.121
"3432","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",46,"Parent","Fulltime","Homemaker","Upper level tertiary",2,"No",6,0.121
"3433","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",39,"Parent","Fulltime","Other","Upper level tertiary",7,"Yes, she worked for pay",5,0.121
"3434","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Female",34,"Nonparent","Fulltime","Other","Lower level tertiary",5,"Yes, she worked for pay",7,0.121
"3435","Keep Some $ Separate","IE","Ireland","Cohab","Equal-earners","Female",31,"Nonparent","Fulltime","Other","Lower level tertiary",3,"Yes, she worked for pay",5,0.121
"3436","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",44,"Parent","Fulltime","Other","Upper level tertiary",5,"No",6,0.121
"3437","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Female",33,"Parent","Fulltime","Other","Upper level tertiary",4,"Yes, she worked for pay",7,0.121
"3438","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",47,"Parent","Student","Homemaker","Upper level tertiary",2,"No",5,0.121
"3439","Manage $ Together","IE","Ireland","Cohab","Man primary-earner","Female",32,"Parent","Not in labor force","Homemaker","Post secondary",2,"Yes, she worked for pay",5,0.121
"3440","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",47,"Nonparent","Fulltime","Other","Upper level tertiary",6,"Yes, she worked for pay",6,0.121
"3441","One $ Manager","IE","Ireland","Married","Equal-earners","Female",39,"Parent","Fulltime","Other","Lower level tertiary",8,"No",7,0.121
"3442","Keep Some $ Separate","IE","Ireland","Cohab","Equal-earners","Female",28,"Nonparent","Parttime","Other","Upper level tertiary",4,"Yes, she worked for pay",6,0.121
"3443","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",53,"Nonparent","Parttime","Homemaker","Lower level tertiary",2,"No",6,0.121
"3444","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",54,"Parent","Not in labor force","Homemaker","Post secondary",2,"No",5,0.121
"3445","One $ Manager","IE","Ireland","Married","Equal-earners","Female",43,"Parent","Fulltime","Other","Upper level tertiary",1,"Yes, she worked for pay",6,0.121
"3446","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Male",33,"Parent","Fulltime","Other","Post secondary",10,"Yes, she worked for pay",7,0.121
"3447","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",33,"Nonparent","Fulltime","Other","Lower level tertiary",5,"Yes, she worked for pay",6,0.121
"3448","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",51,"Parent","Fulltime","Other","Upper level tertiary",3,"No",6,0.121
"3449","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",39,"Parent","Not in labor force","Homemaker","Lower secondary",1,"No",6,0.121
"3450","Keep Some $ Separate","IE","Ireland","Married","Equal-earners","Female",36,"Parent","Fulltime","Other","Lower level tertiary",1,"Yes, she worked for pay",5,0.121
"3451","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",42,"Parent","Not in labor force","Other","Lower level tertiary",0,"No",7,0.121
"3452","Keep All $ Separate","IE","Ireland","Married","Woman primary-earner","Female",33,"Parent","Fulltime","Other","Upper level tertiary",3,"No",5,0.121
"3453","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",49,"Parent","Parttime","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.121
"3454","One $ Manager","IE","Ireland","Married","Man primary-earner","Female",52,"Parent","Not in labor force","Homemaker","Upper secondary",2,"No",5,0.121
"3455","Keep All $ Separate","IE","Ireland","Married","Woman primary-earner","Female",47,"Parent","Fulltime","Other","Upper level tertiary",1,"No",1,0.121
"3456","One $ Manager","IE","Ireland","Married","Equal-earners","Female",30,"Parent","Not in labor force","Other","Lower secondary",5,"Yes, she worked for pay",5,0.121
"3457","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",52,"Parent","Not in labor force","Homemaker","Upper level tertiary",2,"No",7,0.121
"3458","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Male",48,"Parent","Parttime","Homemaker","Upper secondary",10,"No",6,0.121
"3459","Manage $ Together","IE","Ireland","Cohab","Man primary-earner","Female",28,"Parent","Fulltime","Other","Upper level tertiary",2,"Yes, she worked for pay",7,0.121
"3460","Keep All $ Separate","IE","Ireland","Married","Woman primary-earner","Male",41,"Parent","Parttime","Other","Upper level tertiary",12,"Yes, she worked for pay",5,0.121
"3461","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",35,"Parent","Fulltime","Other","Upper level tertiary",6,"Yes, she worked for pay",6,0.121
"3462","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",43,"Parent","Not in labor force","Other","Upper level tertiary",6,"Yes, she worked for pay",6,0.121
"3463","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Male",47,"Parent","Fulltime","Homemaker","Upper secondary",6,"No",6,0.121
"3464","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",32,"Parent","Parttime","Other","Upper level tertiary",2,"No",7,0.121
"3465","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",34,"Nonparent","Fulltime","Other","Post secondary",6,"Yes, she worked for pay",7,0.121
"3466","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",50,"Parent","Not in labor force","Homemaker","Upper level tertiary",2,"No",5,0.121
"3467","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",42,"Parent","Fulltime","Other","Post secondary",6,"Yes, she worked for pay",5,0.121
"3468","One $ Manager","IE","Ireland","Married","Man primary-earner","Male",47,"Parent","Fulltime","Homemaker","Lower level tertiary",3,"Yes, she worked for pay",5,0.121
"3469","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",54,"Nonparent","Parttime","Other","Upper secondary",4,"Yes, she worked for pay",6,0.121
"3470","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",48,"Nonparent","Fulltime","Other","Post secondary",5,"Yes, she worked for pay",5,0.121
"3471","Keep Some $ Separate","IE","Ireland","Married","Equal-earners","Female",43,"Parent","Unemployed","Homemaker","Upper secondary",4,"Yes, she worked for pay",5,0.121
"3472","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",44,"Parent","Fulltime","Homemaker","Upper level tertiary",3,"No",5,0.121
"3473","One $ Manager","IE","Ireland","Married","Man primary-earner","Male",49,"Parent","Fulltime","Homemaker","Upper level tertiary",4,"Yes, she worked for pay",6,0.121
"3474","Keep All $ Separate","IE","Ireland","Married","Man primary-earner","Female",24,"Nonparent","Parttime","Other","Post secondary",3,"Yes, she worked for pay",5,0.121
"3475","Keep All $ Separate","IE","Ireland","Married","Man primary-earner","Female",48,"Parent","Parttime","Homemaker","Lower level tertiary",0,"Yes, she worked for pay",5,0.121
"3476","Keep All $ Separate","IE","Ireland","Married","Man primary-earner","Female",49,"Parent","Unemployed","Other","Upper secondary",0,"No",5,0.121
"3477","Keep Some $ Separate","IE","Ireland","Married","Equal-earners","Female",41,"Nonparent","Fulltime","Other","Post secondary",5,"No",6,0.121
"3478","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",41,"Parent","Fulltime","Homemaker","Upper level tertiary",6,"Yes, she worked for pay",6,0.121
"3479","Manage $ Together","IE","Ireland","Cohab","Equal-earners","Female",35,"Nonparent","Fulltime","Other","Post secondary",6,"Yes, she worked for pay",6,0.121
"3480","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Male",50,"Parent","Unemployed","Homemaker","Upper level tertiary",6,"Yes, she worked for pay",5,0.121
"3481","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Male",40,"Parent","Fulltime","Other","Upper level tertiary",9,"No",6,0.121
"3482","Keep All $ Separate","IE","Ireland","Married","Man primary-earner","Female",54,"Parent","Parttime","Homemaker","Post secondary",0,"Yes, she worked for pay",5,0.121
"3483","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",37,"Parent","Parttime","Homemaker","Post secondary",3,"No",7,0.121
"3484","One $ Manager","IE","Ireland","Married","Woman primary-earner","Female",54,"Nonparent","Not in labor force","Homemaker","Post secondary",1,"No",5,0.121
"3485","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",45,"Parent","Parttime","Homemaker","Post secondary",2,"No",5,0.121
"3486","One $ Manager","IE","Ireland","Married","Woman primary-earner","Female",43,"Parent","Fulltime","Homemaker","Upper level tertiary",1,"No",5,0.121
"3487","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",39,"Parent","Not in labor force","Other","Post secondary",4,"Yes, she worked for pay",7,0.121
"3488","Keep Some $ Separate","IE","Ireland","Married","Equal-earners","Female",44,"Parent","Parttime","Other","Upper level tertiary",3,"Yes, she worked for pay",6,0.121
"3489","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",47,"Nonparent","Parttime","Other","Upper level tertiary",6,"No",3,0.121
"3490","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",37,"Parent","Parttime","Homemaker","Post secondary",5,"Yes, she worked for pay",7,0.121
"3491","One $ Manager","IE","Ireland","Married","Woman primary-earner","Female",47,"Parent","Parttime","Homemaker","Post secondary",2,"No",6,0.121
"3492","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",42,"Parent","Not in labor force","Other","Upper level tertiary",3,"Yes, she worked for pay",6,0.121
"3493","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",54,"Parent","Fulltime","Other","Upper secondary",8,"Yes, she worked for pay",5,0.121
"3494","One $ Manager","IE","Ireland","Married","Man primary-earner","Male",37,"Parent","Fulltime","Homemaker","Upper level tertiary",5,"No",6,0.121
"3495","Keep All $ Separate","IE","Ireland","Married","Woman primary-earner","Female",44,"Parent","Parttime","Homemaker","Upper level tertiary",5,"Yes, she worked for pay",5,0.121
"3496","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Female",38,"Parent","Fulltime","Other","Upper level tertiary",5,"Yes, she worked for pay",6,0.121
"3497","Manage $ Together","IE","Ireland","Married","Woman primary-earner","Female",52,"Nonparent","Parttime","Homemaker","Lower level tertiary",2,"No",6,0.121
"3498","Keep All $ Separate","IE","Ireland","Cohab","Woman primary-earner","Female",49,"Nonparent","Fulltime","Homemaker","Upper secondary",4,"Yes, she worked for pay",6,0.121
"3499","One $ Manager","IE","Ireland","Married","Equal-earners","Female",34,"Parent","Parttime","Other","Lower level tertiary",1,"Yes, she worked for pay",6,0.121
"3500","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",41,"Parent","Parttime","Homemaker","Lower level tertiary",6,"No",5,0.121
"3501","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",28,"Parent","Not in labor force","Other","Upper level tertiary",5,"No",7,0.121
"3502","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Male",42,"Parent","Fulltime","Homemaker","Upper secondary",4,"Yes, she worked for pay",7,0.121
"3503","Manage $ Together","IE","Ireland","Married","Equal-earners","Male",50,"Parent","Unemployed","Other","Lower secondary",10,"No",4,0.121
"3504","One $ Manager","IE","Ireland","Married","Equal-earners","Female",38,"Parent","Unemployed","Homemaker","Upper level tertiary",5,"Yes, she worked for pay",5,0.121
"3505","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",33,"Parent","Fulltime","Other","Upper level tertiary",3,"Yes, she worked for pay",6,0.121
"3506","Manage $ Together","IE","Ireland","Married","Equal-earners","Female",42,"Parent","Parttime","Other","Upper level tertiary",6,"No",6,0.121
"3507","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",47,"Parent","Fulltime","Homemaker","Upper level tertiary",2,"Yes, she worked for pay",6,0.121
"3508","Keep Some $ Separate","IE","Ireland","Married","Woman primary-earner","Female",47,"Parent","Fulltime","Other","Upper level tertiary",7,"No",7,0.121
"3509","Keep Some $ Separate","IE","Ireland","Married","Equal-earners","Female",38,"Parent","Fulltime","Other","Upper level tertiary",8,"Yes, she worked for pay",6,0.121
"3510","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",39,"Nonparent","Parttime","Other","Lower level tertiary",8,"Yes, she worked for pay",7,0.121
"3511","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",49,"Parent","Parttime","Homemaker","Post secondary",1,"No",5,0.121
"3512","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",43,"Parent","Not in labor force","Homemaker","Post secondary",4,"Yes, she worked for pay",5,0.121
"3513","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",53,"Parent","Unemployed","Homemaker","Post secondary",3,"Yes, she worked for pay",7,0.121
"3514","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",39,"Parent","Not in labor force","Homemaker","Post secondary",2,"No",5,0.121
"3515","Manage $ Together","IE","Ireland","Married","Man primary-earner","Male",47,"Parent","Fulltime","Other","Lower secondary",4,"Yes, she worked for pay",7,0.121
"3516","Manage $ Together","IE","Ireland","Married","Man primary-earner","Female",28,"Parent","Fulltime","Other","Post secondary",4,"Yes, she worked for pay",6,0.121
"3517","Keep Some $ Separate","IE","Ireland","Married","Man primary-earner","Female",37,"Parent","Parttime","Other","Lower level tertiary",3,"Yes, she worked for pay",7,0.121
"3518","Keep All $ Separate","IE","Ireland","Married","Woman primary-earner","Female",54,"Parent","Not in labor force","Homemaker","Post secondary",3,"No",6,0.121
